,anova,mutual_info,random_forest,l1_logistic,rfe,boruta,correlation,total
4.53_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.52_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.51_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.50_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.49_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.48_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.47_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.46_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.34_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.37_41_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.62_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.49_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.58_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.57_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.56_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.55_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.54_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.53_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.52_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.51_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.50_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.48_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.38_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.47_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.46_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.45_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.44_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.43_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.42_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.41_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.40_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.39_47_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.45_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.44_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.43_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.28_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.37_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.36_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.35_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.34_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.33_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.32_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.31_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.30_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.29_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.27_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.42_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.26_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.25_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.24_47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.23_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.22_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.21_39_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.65_38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.64_40_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.63_43_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.38_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.39_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.40_48_CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.41_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.41_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.40_44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.39_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.38_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.56_42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.55_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.54_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.53_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.52_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.51_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.50_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.49_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.48_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.47_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.46_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.45_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.44_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.43_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.42_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N39_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
